dataset,series_id,item_id,origin,cutoff_timestamp,model,repetition,seed,diagnostic_model,forecast_distribution,mae,rmse,smape,mase,crps,wql,wql_loss_sum,wql_abs_target_sum,rain_occurrence_error,positive_mae,actual_zero_fraction,predicted_zero_fraction,metric_notes,duration_seconds,error_type,error
chronos_m1_yearly,0:target,0:target::origin=0,0,1994-12-31 00:00:00,chronos_t5_tiny,0,1174997204,False,chronos_samples,371290.21875,470980.9375,0.4185255467891693,12.142245871601355,350204.81932870374,0.3621744456594385,2101228.930080147,5801704.0,,,0.0,0.0,"{""crps"": ""Nine-quantile approximation from q10-q90 via scoringrules.crps_quantile; original samples/full CDF were not persisted.""}",3.664622123998925,,
chronos_m1_yearly,0:target,0:target::origin=0,0,1994-12-31 00:00:00,chronos_t5_tiny,1,626375271,False,chronos_samples,357029.0,454913.8125,0.3972920477390289,11.675863468439298,341566.02499999997,0.3532403863545347,2049396.1624746495,5801704.0,,,0.0,0.0,"{""crps"": ""Nine-quantile approximation from q10-q90 via scoringrules.crps_quantile; original samples/full CDF were not persisted.""}",0.0715794030002143,,
chronos_m1_yearly,0:target,0:target::origin=0,0,1994-12-31 00:00:00,chronos_t5_tiny,2,998129727,False,chronos_samples,365814.875,465711.0625,0.4101572930812835,11.963186562503852,331138.02361111116,0.3424559673111301,1986828.1553728527,5801704.0,,,0.0,0.0,"{""crps"": ""Nine-quantile approximation from q10-q90 via scoringrules.crps_quantile; original samples/full CDF were not persisted.""}",0.0715798399996856,,
chronos_m1_yearly,0:target,0:target::origin=0,0,1994-12-31 00:00:00,chronos_t5_mini,0,3523584646,False,chronos_samples,442214.25,542249.875,0.5324448943138123,14.461663357313505,418302.9799768519,0.4326001283775204,2509817.8952083737,5801704.0,,,0.0,0.0,"{""crps"": ""Nine-quantile approximation from q10-q90 via scoringrules.crps_quantile; original samples/full CDF were not persisted.""}",1.9920871680005805,,
chronos_m1_yearly,0:target,0:target::origin=0,0,1994-12-31 00:00:00,chronos_t5_mini,1,2524879289,False,chronos_samples,440049.625,543563.5,0.5281385183334351,14.390873964966184,406925.1225694444,0.4208333880287944,2441550.7506602085,5801704.0,,,0.0,0.0,"{""crps"": ""Nine-quantile approximation from q10-q90 via scoringrules.crps_quantile; original samples/full CDF were not persisted.""}",0.0482778869991307,,
chronos_m1_yearly,0:target,0:target::origin=0,0,1994-12-31 00:00:00,chronos_t5_mini,2,1448327450,False,chronos_samples,439412.96875,541423.9375,0.5272700786590576,14.370053495336746,414427.5395833333,0.4285922297436849,2486565.2536728554,5801704.0,,,0.0,0.0,"{""crps"": ""Nine-quantile approximation from q10-q90 via scoringrules.crps_quantile; original samples/full CDF were not persisted.""}",0.0511728319997928,,
chronos_m1_yearly,0:target,0:target::origin=0,0,1994-12-31 00:00:00,chronos_t5_small,0,902234663,False,chronos_samples,416493.15625,510613.4375,0.4911450445652008,13.620510456893852,378991.8160879629,0.3919453520923769,2273950.917015752,5801704.0,,,0.0,0.0,"{""crps"": ""Nine-quantile approximation from q10-q90 via scoringrules.crps_quantile; original samples/full CDF were not persisted.""}",1.6411175430002911,,
chronos_m1_yearly,0:target,0:target::origin=0,0,1994-12-31 00:00:00,chronos_t5_small,1,164422324,False,chronos_samples,407452.59375,503782.71875,0.4759401977062225,13.324858357406438,371144.646412037,0.3838299740753548,2226867.8959128824,5801704.0,,,0.0,0.0,"{""crps"": ""Nine-quantile approximation from q10-q90 via scoringrules.crps_quantile; original samples/full CDF were not persisted.""}",0.0646537680004257,,
chronos_m1_yearly,0:target,0:target::origin=0,0,1994-12-31 00:00:00,chronos_t5_small,2,1895841389,False,chronos_samples,410508.5,508309.6875,0.4805085659027099,13.42479518087834,383725.74004629627,0.396841076081024,2302354.4584635813,5801704.0,,,0.0,0.0,"{""crps"": ""Nine-quantile approximation from q10-q90 via scoringrules.crps_quantile; original samples/full CDF were not persisted.""}",0.0668771709988504,,
chronos_m1_yearly,0:target,0:target::origin=0,0,1994-12-31 00:00:00,chronos_t5_base,0,1460409936,False,chronos_samples,338947.78125,431806.28125,0.3716163635253906,11.0845562035729,308219.99953703705,0.3187546298884453,1849320.0112423124,5801704.0,,,0.0,0.0,"{""crps"": ""Nine-quantile approximation from q10-q90 via scoringrules.crps_quantile; original samples/full CDF were not persisted.""}",2.308595349000825,,
