dataset,item_id,model,mae,rmse,smape,mase,error
chronos_monash_m1_yearly,0:target,chronos:amazon/chronos-t5-tiny,352254.03125,450510.9375,0.3900785446166992,11.519708633422852,
chronos_monash_m1_yearly,0:target,seasonal_naive,413550.65625,510277.96875,0.48565909266471863,13.524282455444336,
chronos_monash_m1_yearly,0:target,arma,403367.34375,513383.59375,0.46686187386512756,13.191259384155273,
chronos_monash_m1_yearly,1:target,chronos:amazon/chronos-t5-tiny,297672.9375,330710.875,0.7092612385749817,12.915348052978516,
chronos_monash_m1_yearly,1:target,seasonal_naive,179532.171875,199510.34375,0.36443260312080383,7.789490222930908,
chronos_monash_m1_yearly,1:target,arma,236614.828125,263222.53125,0.5173546671867371,10.266176223754883,
chronos_monash_m1_yearly,2:target,chronos:amazon/chronos-t5-tiny,190597.546875,205384.53125,0.3865479528903961,10.36857795715332,
chronos_monash_m1_yearly,2:target,seasonal_naive,212431.0,226516.046875,0.44213223457336426,11.556325912475586,
chronos_monash_m1_yearly,2:target,arma,235554.109375,250832.546875,0.5036099553108215,12.814231872558594,
chronos_monash_m1_yearly,3:target,chronos:amazon/chronos-t5-tiny,123058.8125,137636.71875,0.29187294840812683,3.946176052093506,
chronos_monash_m1_yearly,3:target,seasonal_naive,118996.6640625,135015.671875,0.2801836431026459,3.815913677215576,
chronos_monash_m1_yearly,3:target,arma,174002.453125,187768.28125,0.44486331939697266,5.579806327819824,
chronos_monash_m1_yearly,4:target,chronos:amazon/chronos-t5-tiny,16253968.0,17305116.0,0.5925632119178772,13.333793640136719,
chronos_monash_m1_yearly,4:target,seasonal_naive,16073016.0,17212028.0,0.5831403732299805,13.185351371765137,
chronos_monash_m1_yearly,4:target,arma,16783966.0,18381674.0,0.6168668270111084,13.768572807312012,
chronos_monash_m1_yearly,5:target,chronos:amazon/chronos-t5-tiny,5782.25,6532.1923828125,0.27791669964790344,5.831379413604736,
chronos_monash_m1_yearly,5:target,seasonal_naive,7705.31640625,8584.2626953125,0.392566442489624,7.770785331726074,
chronos_monash_m1_yearly,5:target,arma,5289.62109375,6035.22021484375,0.2502458691596985,5.334564685821533,
chronos_monash_m1_yearly,6:target,chronos:amazon/chronos-t5-tiny,621993.5625,679372.5625,0.5114763379096985,10.862935066223145,
chronos_monash_m1_yearly,6:target,seasonal_naive,635595.6875,685335.625,0.5267888903617859,11.100492477416992,
chronos_monash_m1_yearly,6:target,arma,363977.0,379797.21875,0.27345162630081177,6.356751918792725,
