dataset,model,mae,rmse,smape,mase,wql,successful_tasks,failed_tasks,total_duration_seconds
chronos_m1_yearly,deepar,445884.5122781992,543049.6394670472,0.28925722148269417,6.795687454938888,0.19328550374772616,20,0,8.642196724000314
chronos_m1_yearly,prophet,738296.0638307094,816323.8079709426,0.28067844500765204,6.564680516719818,0.3059015676318003,20,0,2.5329771189990424
chronos_m1_yearly,arima_2_1_2,829497.1696214557,914867.3507125527,0.21633211793377996,4.763898324966431,0.32358726528941395,20,0,0.8077501939997092
chronos_m1_yearly,auto_arima,924209.4816308819,1019592.5406423181,0.2985325299203396,6.851358729600906,0.36535043207789947,20,0,3.693225081997298
chronos_m1_yearly,arma_2_2,941432.5585300528,1032426.29179141,0.29354317858815193,6.203418588638305,0.3755890205973846,20,0,0.9350618489993394
chronos_m1_yearly,chronos_t5_tiny,971053.1595719537,1052910.8949107996,0.3159262787550688,6.972242197394371,0.4002159033285256,20,0,4.696962388999509
chronos_m1_yearly,ar_2,976926.4721079111,1063584.9919704765,0.31546208998188374,6.684323236346245,0.392838959681524,20,0,0.4774066439999842
chronos_m1_yearly,seasonal_naive,989133.7247715279,1076983.3435761258,0.3187819395214319,7.336289030313492,0.4325134994789635,20,0,0.00831157500124391
chronos_m1_yearly,ma_2,1627306.7075449885,1695794.8343718052,0.7516942523419857,14.194504767656326,131.0574119535767,20,0,0.49851895700021487
chronos_m4_hourly,seasonal_naive,473.32916831970215,590.7140555381775,0.04870943366549909,0.9476082012057304,0.03385634794230916,20,0,0.009830113999214518
chronos_m4_hourly,chronos_t5_tiny,525.4145967245101,660.9439594745636,0.04524269690737128,0.8752705588936806,0.028824272824930178,20,0,33.437222900000506
chronos_m4_hourly,prophet,864.9400616168975,1000.3241574764252,0.07030650824308396,1.3381072759628296,0.04994068698747175,20,0,2.3833763349994115
chronos_m4_hourly,arima_2_1_2,1116.5459911346436,1323.9071759462356,0.09364798441529273,1.8679589569568633,0.06325529140567548,20,0,5.234056375000364
chronos_m4_hourly,arma_2_2,1696.637894821167,2017.726221370697,0.1262908786535263,2.4426430583000185,0.09319116461860175,20,0,4.531634396999834
chronos_m4_hourly,auto_arima,1738.284222507477,2068.312775802612,0.129847140237689,2.5560229122638702,0.09462609145768903,20,0,29.171748478999234
chronos_m4_hourly,ar_2,1812.1349158287048,2153.1562604904175,0.1400542214512825,2.7224711656570433,0.09838835609623504,20,0,1.0641339200001312
chronos_m4_hourly,deepar,2232.549296665192,2568.6720336914063,0.16819929145276546,3.3450655221939085,0.12165081271992334,20,0,25.336610627000937
chronos_m4_hourly,ma_2,2372.1090878486634,2740.146476173401,0.17538622878491877,3.47202445268631,0.13443024267577322,20,0,7.025278344999606
chronos_weather,chronos_t5_tiny,0.8061739796772599,2.0086241625249386,2.0,0.21142844585701823,0.9841890256601294,20,0,24.57126790000075
chronos_weather,deepar,0.8609459161758423,1.9651918902993202,1.9280514538288116,0.2246131736319512,1.0308425135108674,20,0,44.18693959300026
chronos_weather,seasonal_naive,0.8972988825291395,2.0320918552577494,0.6316212467849255,0.22982863425277172,1.1130338121608696,20,0,0.011025598998003261
chronos_weather,prophet,1.8742960333824157,2.379991799592972,1.749795961380005,0.512112045288086,2.629408565678677,20,0,35.15415367199921
chronos_weather,arima_2_1_2,2.1917765855789186,2.5866036772727967,1.726256436109543,0.6062969028949737,2.6777474793585156,20,0,86.23096088400052
chronos_weather,arma_2_2,2.2263966858386994,2.611329025030136,1.7263472557067872,0.6154090821743011,2.68791730451939,20,0,121.21523134500103
chronos_weather,auto_arima,2.2402291893959045,2.621399909257889,1.725566953420639,0.6201430290937424,2.692664270336388,20,0,128.90484631900154
chronos_weather,ar_2,2.2643190920352936,2.6331806421279906,1.7251273095607758,0.6283352941274643,2.7000778243399703,20,0,8.33745259899888
chronos_weather,ma_2,2.2688298165798186,2.6368973553180695,1.7252464711666107,0.6295491337776185,2.7005552305248286,20,0,30.14890995899941
external_national_illness,arima_2_1_2,49285.046875,61576.046875,0.03275946155190468,0.5707834362983704,0.03340084563132974,1,0,0.2999042749997898
external_national_illness,prophet,58627.015625,73432.8828125,0.03878198191523552,0.6789752840995789,0.030373397746669292,1,0,0.11970824100035315
external_national_illness,ar_2,68257.5234375,83249.7890625,0.046033021062612534,0.7905087471008301,0.038335379966174046,1,0,0.07259248999980628
external_national_illness,auto_arima,74947.390625,95200.703125,0.0491260401904583,0.8679859042167664,0.04303755852125224,1,0,0.6188296769996668
external_national_illness,chronos_t5_tiny,83596.5625,114740.5625,0.05708720162510872,0.9681543111801147,0.04626204954111035,1,0,1.1316509759999462
external_national_illness,arma_2_2,97019.8359375,106806.5390625,0.06551199406385422,1.123612880706787,0.045468902816104544,1,0,0.7641286740004034
external_national_illness,deepar,129745.5859375,144528.34375,0.08863136172294617,1.5026185512542725,0.0656126563248934,1,0,1.021540429000197
external_national_illness,seasonal_naive,153627.328125,246659.078125,0.11638595908880234,1.779199481010437,0.10130452571359677,1,0,0.00047657699997216696
external_national_illness,ma_2,854578.9375,863451.0625,0.7909345030784607,9.897109031677246,0.4206120570074913,1,0,0.1439074109998728
external_psm,arima_2_1_2,0.0024311887780640975,0.003083596511714859,0.005090063740499318,0.269590799510479,0.004229765600858468,5,0,73.02230104199953
external_psm,auto_arima,0.002772107723285444,0.0033898477704497054,0.005793479800922796,0.3570044219493866,0.00436059495882686,5,0,149.1022361299997
external_psm,arma_2_2,0.0027937591657973826,0.003417105908738449,0.0058244595886208115,0.35325666666030886,0.00434010299495156,5,0,265.8703173630015
external_psm,seasonal_naive,0.0031496522322413513,0.003958104287448805,0.006549843979883008,0.36584931015968325,0.004616404358251617,5,0,0.0048336400000152935
external_psm,chronos_t5_tiny,0.0032344791485229506,0.0038182998629054054,0.006453310439246707,0.6551927179098129,0.003751161714320272,5,0,7.848440601999755
external_psm,ar_2,0.00330915469530737,0.004007993634149898,0.0067539129275246525,0.5184662535786628,0.005668498698899367,5,0,88.36959013499973
external_psm,deepar,0.009545422717928886,0.012190511170774698,0.014929125364869834,7.374057602882385,0.027157185963643915,5,0,93.55616643300118
external_psm,prophet,0.029831924848258494,0.03075637575238943,0.04834449589252472,23.841988229751585,0.034083628581381115,5,0,460.4685480150001
external_psm,ma_2,0.06262640468776226,0.06360140889883041,0.096879643201828,53.28033003807068,0.07221245724016338,5,0,234.45106429499992
external_traffic,deepar,0.007645698799751699,0.010567518672905863,0.20487720072269439,0.3783522665500641,0.1465745625349801,5,0,16.744004524999582
external_traffic,chronos_t5_tiny,0.009495016932487488,0.014645085483789445,0.1980019822716713,0.4896878719329834,0.17226536075878332,5,0,5.422361997999815
external_traffic,seasonal_naive,0.010125000681728124,0.014301582612097264,0.2545208305120468,0.552300101518631,0.22958749887592264,5,0,0.0025714550001794123
external_traffic,arima_2_1_2,0.019555417634546757,0.026062430813908577,0.5264701008796692,1.1146832346916198,0.41457330802862646,5,0,29.63752807800074
external_traffic,auto_arima,0.0214570390060544,0.027027252689003946,0.567231011390686,1.181624412536621,0.4304194217173032,5,0,98.71754231600107
external_traffic,arma_2_2,0.021849310398101805,0.02763302009552717,0.5705362737178803,1.198807179927826,0.43545108247933173,5,0,73.69386958699988
external_traffic,ar_2,0.023552380874752997,0.028892056457698344,0.5883163869380951,1.2204660296440124,0.45993631376453004,5,0,16.535082945999875
