dataset,series_id,item_id,origin,model,repetition,seed,forecast_distribution,step,timestamp,actual,point_forecast,mean_forecast,q_10,q_20,q_30,q_40,q_50,q_60,q_70,q_80,q_90
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,0,372023628,chronos_samples,0,2020-01-21 00:00:00,1579306.0,1605074.375,1600708.125,1525128.25,1548497.125,1574325.875,1587855.25,1605074.375,1617373.875,1629673.25,1649352.375,1666571.5
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,0,372023628,chronos_samples,1,2020-01-28 00:00:00,1563623.0,1601999.5,1605136.0,1536812.625,1555876.75,1572481.0,1586625.25,1601999.5,1619833.75,1629673.25,1641972.75,1703469.75
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,0,372023628,chronos_samples,2,2020-02-04 00:00:00,1601333.0,1598924.625,1604151.875,1517748.5,1549727.0,1562026.5,1580475.625,1598924.625,1617373.875,1631518.125,1667801.5,1697935.0
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,0,372023628,chronos_samples,3,2020-02-11 00:00:00,1640587.0,1611224.125,1607103.625,1494379.625,1525128.25,1549727.0,1578015.75,1611224.125,1623523.625,1649967.25,1667801.5,1729298.5
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,0,372023628,chronos_samples,4,2020-02-18 00:00:00,1590088.0,1592775.0,1595788.375,1475315.5,1517748.625,1543577.375,1568176.125,1592775.0,1613684.0,1635207.875,1691170.375,1716384.125
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,0,372023628,chronos_samples,5,2020-02-25 00:00:00,1423220.0,1583550.5,1584349.875,1445182.0,1494379.625,1525128.25,1555876.75,1583550.5,1607534.25,1637667.875,1669031.5,1722533.875
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,0,372023628,chronos_samples,6,2020-03-03 00:00:00,1536943.0,1574325.875,1594804.5,1469165.75,1506679.0,1537427.625,1559566.625,1574325.875,1619833.75,1639512.75,1678871.0,1730528.5
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,0,372023628,chronos_samples,7,2020-03-10 00:00:00,1552636.0,1574325.875,1587240.125,1461786.25,1498069.375,1525128.25,1553416.875,1574325.875,1605074.375,1641972.75,1691170.375,1740983.0
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,0,372023628,chronos_samples,8,2020-03-17 00:00:00,1491798.0,1571251.0,1574449.0,1426732.875,1475930.5,1523283.375,1549727.0,1571251.0,1605074.375,1635823.0,1669031.5,1716384.125
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,0,372023628,chronos_samples,9,2020-03-24 00:00:00,1361170.0,1574325.875,1571128.125,1426117.875,1479620.375,1517133.625,1549727.0,1574325.875,1598924.625,1631518.125,1672721.25,1753282.375
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,0,372023628,chronos_samples,10,2020-03-31 00:00:00,1457151.0,1565101.25,1558890.125,1412588.625,1462401.125,1504834.125,1541117.5,1565101.25,1592775.0,1623523.625,1655502.125,1723148.75
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,0,372023628,chronos_samples,11,2020-04-07 00:00:00,1581455.0,1549727.0,1549235.0,1395369.25,1445182.0,1488229.875,1531277.875,1549727.0,1592775.0,1619218.75,1655502.125,1705929.625
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,0,372023628,chronos_samples,12,2020-04-14 00:00:00,1517183.0,1562026.5,1541240.375,1387989.625,1445182.0,1486385.0,1531277.875,1562026.5,1580475.625,1613069.0,1643202.75,1680715.875
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,0,372023628,chronos_samples,13,2020-04-21 00:00:00,1513962.0,1522053.375,1523652.125,1346786.625,1426732.875,1478390.375,1500529.25,1522053.375,1576785.75,1592775.0,1635823.0,1691785.375
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,0,372023628,chronos_samples,14,2020-04-28 00:00:00,1504061.0,1525128.25,1507048.0,1296359.0,1419353.25,1463631.125,1491919.75,1525128.25,1555876.75,1582320.5,1629673.25,1680715.875
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,0,372023628,chronos_samples,15,2020-05-05 00:00:00,1479946.0,1512828.875,1495179.0,1289594.25,1383684.875,1435342.5,1469780.75,1512828.875,1549727.0,1576170.75,1618603.875,1673951.125
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,0,372023628,chronos_samples,16,2020-05-12 00:00:00,1438348.0,1494379.625,1470149.75,1253925.875,1357856.0,1418738.25,1457481.375,1494379.625,1512828.875,1555876.75,1600154.625,1660421.875
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,0,372023628,chronos_samples,17,2020-05-19 00:00:00,1381381.0,1475930.5,1451331.625,1234861.875,1332027.25,1389834.5,1426732.875,1475930.5,1512828.875,1531277.875,1587855.25,1655502.0
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,0,372023628,chronos_samples,18,2020-05-26 00:00:00,1537636.0,1448256.75,1425502.875,1220717.5,1296358.875,1330797.375,1399674.0,1448256.75,1478390.375,1518978.5,1581705.625,1636438.0
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,0,372023628,chronos_samples,19,2020-06-02 00:00:00,1525058.0,1408283.75,1394754.25,1166600.125,1248391.25,1308043.5,1387374.625,1408283.75,1453791.5,1490074.75,1528818.125,1619218.75
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,0,372023628,chronos_samples,20,2020-06-09 00:00:00,1538038.0,1386759.75,1372799.875,1143231.125,1216412.75,1291439.125,1340636.875,1386759.75,1425502.875,1475930.5,1514058.875,1617373.875
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,0,372023628,chronos_samples,21,2020-06-16 00:00:00,1528103.0,1359086.0,1347893.5,1113097.625,1186894.125,1253311.0,1307428.5,1359086.0,1395984.25,1439032.25,1501759.25,1601384.5
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,0,372023628,chronos_samples,22,2020-06-23 00:00:00,1542813.0,1325262.625,1321388.375,1069434.625,1168445.0,1207803.25,1281599.625,1325262.625,1373845.25,1416278.375,1482080.25,1580475.625
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,0,372023628,chronos_samples,23,2020-06-30 00:00:00,1509928.0,1309888.375,1311671.625,1063284.875,1153685.625,1199193.625,1264380.5,1309888.375,1364005.75,1403978.75,1493149.75,1564486.375
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,1,3939783221,chronos_samples,0,2020-01-21 00:00:00,1579306.0,1592775.0,1593390.125,1506679.0,1554646.75,1568176.125,1578015.75,1592775.0,1611224.125,1619218.75,1648122.375,1666571.5
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,1,3939783221,chronos_samples,1,2020-01-28 00:00:00,1563623.0,1595849.75,1595542.375,1500529.25,1543577.375,1568176.125,1574325.875,1595849.75,1617373.875,1629673.25,1649352.375,1686865.5
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,1,3939783221,chronos_samples,2,2020-02-04 00:00:00,1601333.0,1605074.375,1603967.5,1500529.25,1548497.125,1568176.125,1586625.25,1605074.375,1623523.625,1641972.75,1666571.5,1716384.125
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,1,3939783221,chronos_samples,3,2020-02-11 00:00:00,1640587.0,1598924.625,1606550.375,1518363.5,1537427.625,1566331.25,1580475.625,1598924.625,1625983.5,1643817.625,1680101.0,1716384.125
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,1,3939783221,chronos_samples,4,2020-02-18 00:00:00,1590088.0,1611224.125,1605750.75,1499914.25,1525128.25,1560181.625,1584165.375,1611224.125,1625983.5,1637667.875,1666571.5,1729298.5
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,1,3939783221,chronos_samples,5,2020-02-25 00:00:00,1423220.0,1611224.125,1601753.625,1469165.75,1512828.875,1562026.5,1586625.25,1611224.125,1623523.625,1641972.75,1692400.375,1729298.5
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,1,3939783221,chronos_samples,6,2020-03-03 00:00:00,1536943.0,1605074.375,1603967.375,1475930.5,1533737.875,1566331.25,1584165.375,1605074.375,1617373.875,1637667.875,1693630.25,1746517.75
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,1,3939783221,chronos_samples,7,2020-03-10 00:00:00,1552636.0,1608149.25,1604889.875,1469780.75,1505449.0,1555876.75,1580475.625,1608149.25,1629673.25,1654272.125,1698550.0,1740368.0
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,1,3939783221,chronos_samples,8,2020-03-17 00:00:00,1491798.0,1592775.0,1595665.5,1474700.625,1500529.25,1537427.625,1568176.125,1592775.0,1617373.875,1637667.875,1681330.875,1758817.125
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,1,3939783221,chronos_samples,9,2020-03-24 00:00:00,1361170.0,1586625.25,1588347.25,1448256.75,1500529.25,1535582.75,1574325.875,1586625.25,1613684.0,1637667.875,1672721.25,1758817.125
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,1,3939783221,chronos_samples,10,2020-03-31 00:00:00,1457151.0,1592775.0,1584165.5,1443337.125,1494379.625,1525128.25,1555876.75,1592775.0,1605074.375,1631518.125,1664111.75,1771116.5
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,1,3939783221,chronos_samples,11,2020-04-07 00:00:00,1581455.0,1580475.625,1572296.5,1413818.5,1469780.75,1510983.875,1565716.25,1580475.625,1607534.25,1629673.25,1660421.875,1766196.75
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,1,3939783221,chronos_samples,12,2020-04-14 00:00:00,1517183.0,1568176.125,1554277.75,1371385.375,1437802.25,1498684.375,1537427.625,1568176.125,1582935.5,1623523.625,1649352.375,1734833.25
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,1,3939783221,chronos_samples,13,2020-04-21 00:00:00,1513962.0,1549727.0,1540010.5,1358471.0,1430422.625,1475930.5,1516518.625,1549727.0,1582935.5,1605074.375,1654272.125,1740368.0
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,1,3939783221,chronos_samples,14,2020-04-28 00:00:00,1504061.0,1537427.625,1527833.875,1328337.5,1431652.625,1482080.25,1510369.0,1537427.625,1562026.5,1598924.625,1643202.75,1711464.375
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,1,3939783221,chronos_samples,15,2020-05-05 00:00:00,1479946.0,1531277.875,1501882.25,1283444.625,1392294.5,1451331.625,1499299.375,1531277.875,1555876.75,1582320.5,1618603.875,1697320.0
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,1,3939783221,chronos_samples,16,2020-05-12 00:00:00,1438348.0,1503604.125,1468735.375,1231787.125,1325877.625,1412588.625,1463631.125,1503604.125,1527588.125,1570021.0,1592775.0,1662266.75
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,1,3939783221,chronos_samples,17,2020-05-19 00:00:00,1381381.0,1494379.5,1441000.125,1180129.375,1270530.125,1387989.625,1445182.0,1494379.5,1525128.25,1543577.375,1562026.5,1631518.125
external_national_illness,OT,OT::origin=0,0,chronos_t5_tiny,1,3939783221,chronos_samples,18,2020-05-26 00:00:00,1537636.0,1463631.125,1415109.875,1172749.75,1254541.0,1371385.375,1424273.0,1463631.125,1488229.875,1518978.5,1539887.5,1587855.125
