dataset,model,mae,rmse,smape,mase,rain_occurrence_error,positive_mae,wql,wql_macro,wql_median,successful_runs,failed_runs,diagnostic_model,evaluated_tasks,successful_tasks,failed_tasks,total_duration_seconds
external_national_illness,timesfm_2_5_200m,109396.62630208333,136067.23307291666,0.08973956108093262,1.3260699760556278,,,0.06883807521866636,0.07105724925811178,0.0376543384510538,3,0,False,3,3,0,5.163080266998804
external_national_illness,prophet,144523.40147569444,202429.08072916666,0.11868823236889309,1.7370427030514757,,,0.09298184642831474,0.09692262404693519,0.08875012762086948,9,0,False,3,3,0,0.921958345999883
external_national_illness,deepar,176420.75868055556,225950.72829861112,0.14413688000705507,2.056691281690245,,,0.1132798983316678,0.11641651065914288,0.11630011672478857,9,0,False,3,3,0,77.27153905800515
external_national_illness,seasonal_naive,220093.42708333334,264942.4947916667,0.1821963613231977,2.5829898201818238,,,0.16209855356317385,0.1660037952544675,0.1647161289771455,3,0,False,3,3,0,0.004494642000281601
external_national_illness,arima_2_1_2,225769.79036458334,282637.8528645833,0.19537219032645226,2.6399215741110087,,,0.14579769115987187,0.1523634836209994,0.15217845613015332,3,0,False,3,3,0,0.5827657369991357
external_national_illness,chronos_t5_tiny,231896.00086805556,290357.73524305556,0.20450413558218214,2.681797359132084,,,0.15025528758089907,0.1566323498233278,0.14675912585851256,9,0,False,3,3,0,14.386210211001526
external_national_illness,moirai_2_0_small,265892.3463541667,328920.125,0.23553463568290076,3.0541115425355474,,,0.17037026942584502,0.17665854447085608,0.15548904587501133,3,0,False,3,3,0,2.4153999549980654
external_national_illness,auto_arima,268188.421875,327859.765625,0.23878361781438193,3.100643041314596,,,0.17019834855220728,0.17758673149312024,0.15491894187990984,3,0,False,3,3,0,1.0335232659999747
external_psm,chronos_t5_tiny,0.015178440004173252,0.020076135768451624,0.04459945420838064,0.5333236808599275,,,0.027675750313593855,0.03521211793465516,0.01954183535690596,45,0,False,15,15,0,51.04428601601467
external_psm,moirai_2_0_small,0.015611772953222195,0.020646638097241522,0.047555362619459626,0.5606208776984137,,,0.028091182244505093,0.03678405936931274,0.018935567206994252,15,0,False,15,15,0,0.24898823600597098
external_psm,timesfm_2_5_200m,0.015719682707761726,0.021218191894392172,0.04743209493656953,0.5418184545329808,,,0.028442327542087108,0.036922147991813155,0.021588056666304405,15,0,False,15,15,0,6.864030668999476
external_psm,arima_2_1_2,0.02325222563619415,0.029452465195208787,0.06509124177197616,0.7757893249122632,,,0.050143295567781694,0.05883348995103502,0.0607585735747207,15,0,False,15,15,0,1.6994599610006844
external_psm,seasonal_naive,0.024450223535920183,0.02921730326488614,0.05937863464156787,0.8005574990730545,,,0.05527284734804211,0.0585615834929398,0.02924975498529008,15,0,False,15,15,0,0.009000546000606846
external_psm,auto_arima,0.026754814852029084,0.033566231032212575,0.06911913231015206,0.922063083247392,,,0.04937741153711611,0.05601276097572262,0.06026013019588149,15,0,False,15,15,0,14.468906120993779
external_psm,deepar,0.039719860214326115,0.0442692912908064,0.09461075377961,1.3773169680789132,,,0.07705383876048799,0.08392217948433217,0.05767582628026224,45,0,False,15,15,0,548.7939184749921
external_psm,prophet,0.054973873320139116,0.061552619592597085,0.1430318721673555,1.5785959958277516,,,0.1056269661615122,0.10738708649762257,0.1017957950983563,45,0,False,15,15,0,4.887133254989749
external_traffic,moirai_2_0_small,0.005472213464478652,0.006732828674527506,0.222550380975008,0.47600088063850965,,,0.1435671852910641,0.1705650482426782,0.07512522899971293,15,0,False,15,15,0,0.2529911420024291
external_traffic,chronos_t5_tiny,0.005683593286408319,0.007270694045453436,0.17509903742207422,0.49454097878207215,,,0.15014420225261985,0.18152458982359948,0.10466788086257199,45,0,False,15,15,0,49.373773451005036
external_traffic,seasonal_naive,0.006185833465618392,0.007996548945084215,0.1913954938451449,0.5317527419949131,,,0.18967029702084184,0.2196860087512351,0.13571427801963182,15,0,False,15,15,0,0.009220001009452972
external_traffic,timesfm_2_5_200m,0.006391329457983375,0.008248738463347156,0.222476855913798,0.529272999155613,,,0.16328134461513627,0.19464165232463876,0.1149607416333525,15,0,False,15,15,0,6.87424698999348
external_traffic,deepar,0.008533111204289727,0.010916742941157685,0.2616247879134284,0.7328979839815615,,,0.23678815711790266,0.2478436115462248,0.18343101211269214,45,0,False,15,15,0,518.6162265480107
external_traffic,auto_arima,0.015675615705549716,0.018498961937924226,0.5336576094230016,1.1625840013724307,,,0.45292610783340115,0.531053253521719,0.2859374287904134,15,0,False,15,15,0,15.63274497600105
external_traffic,prophet,0.01998154303162462,0.024468121719029214,0.7583238714271121,1.3385087009578422,,,0.48198145147473964,0.5903948980215605,0.26399778106448446,45,0,False,15,15,0,3.5843497850200947
external_traffic,arima_2_1_2,0.024062462709844114,0.028204878171284992,1.050920025507609,2.721257741830162,,,0.6392178406646243,0.7384405644617467,0.7301727531067075,15,0,False,15,15,0,2.3133194180063583
official_bls_macro,timesfm_2_5_200m,66.45523363777569,77.53160007085118,0.017008746766285703,0.17418558069492482,,,0.0010807177928089243,0.012362129654077427,0.0027121886939632705,7,0,False,7,7,0,3.229524250004033
official_bls_macro,auto_arima,75.96405863016844,80.88381704688072,0.01458260727564006,0.16072188592593367,,,0.0042784597172171885,0.025921641461977927,0.004383083807775249,7,0,False,7,7,0,3.0989706949985703
official_bls_macro,arima_2_1_2,79.66158849533115,84.55048323529107,0.012504927651856892,0.15796611659100832,,,0.0042446548391553915,0.02605591428946697,0.0043575383993090895,7,0,False,7,7,0,0.37560763899818994
official_bls_macro,chronos_t5_tiny,151.32896811124823,164.4516883045435,0.01827589182981423,0.26713042292155365,,,0.0025216392819664194,0.013131779018885677,0.0040799030933260354,21,0,False,7,7,0,6.429055734999565
official_bls_macro,moirai_2_0_small,193.0637744899307,198.79517241248064,0.016267590590619614,0.22208921278957308,,,0.0023406261061631275,0.012438771857313652,0.003343240374702395,7,0,False,7,7,0,0.08471480200023507
official_bls_macro,seasonal_naive,236.6457365251013,245.4033781034606,0.021999803854019513,0.5025946893228144,,,0.003477593511387423,0.021577516421982197,0.024787876227029874,7,0,False,7,7,0,0.0068381350065465085
official_bls_macro,deepar,460.73366404856955,465.232955823342,0.03268377562718732,0.3349468799747636,,,0.004850466882464863,0.026358199062150273,0.005790975402723745,21,0,False,7,7,0,154.64196525799343
official_bls_macro,prophet,910.5819068033071,941.5176009237766,0.025038115148033415,0.45541569927466535,,,0.009752280608763987,0.03182502066768075,0.011794893346804268,21,0,False,7,7,0,1.9090192549956555
official_elexon_demand,timesfm_2_5_200m,25479.119791666668,30922.500651041668,0.04786062861482302,0.5859049328147553,,,0.03687578771229307,0.036842082885098944,0.03517292868987748,3,0,False,3,3,0,1.5090245030005462
official_elexon_demand,moirai_2_0_small,26346.018229166668,32446.694661458332,0.049290323009093605,0.605124139602866,,,0.038116008652010605,0.03807270580328161,0.03695487553865295,3,0,False,3,3,0,0.05411226000069291
official_elexon_demand,chronos_t5_tiny,30666.065538194445,37367.32204861111,0.05776893926991357,0.7023944267065123,,,0.044389296573087024,0.04431924138293535,0.040429496139798564,9,0,False,3,3,0,11.886465561990917
official_elexon_demand,seasonal_naive,34517.466796875,44237.205729166664,0.06380965933203697,0.7960409356668589,,,0.0644778280981723,0.06449815154763665,0.06712827966487211,3,0,False,3,3,0,0.004205965997243766
official_elexon_demand,deepar,39770.973307291664,47435.3828125,0.07570206373929977,0.9185282926176163,,,0.05964926348386555,0.059594225477625,0.05121621175709159,9,0,False,3,3,0,111.63786045000597
official_elexon_demand,arima_2_1_2,40633.875,48519.580729166664,0.07659775763750076,0.9369844522683826,,,0.059028788260749185,0.05905274102276567,0.058967636010905045,3,0,False,3,3,0,0.4627837819971319
official_elexon_demand,auto_arima,40823.555989583336,48768.830729166664,0.07696066548426946,0.9413617853287569,,,0.05896936257836554,0.058998978111715346,0.058457126864592715,3,0,False,3,3,0,1.48736443999951
official_elexon_demand,prophet,59688.16189236111,67009.55164930556,0.11775883783896764,1.3913569856426369,,,0.08805243226684911,0.08826274292527629,0.09525312330537979,9,0,False,3,3,0,0.7591219899950374
official_usgs_streamflow,timesfm_2_5_200m,1482.40090913039,2288.642434046819,0.3205857299841367,1.128831173634505,,,0.26010516329047345,0.29571218568602226,0.22194501023349208,13,0,False,13,13,0,6.184217894002359
official_usgs_streamflow,moirai_2_0_small,1722.1587999784028,2537.5785217285156,0.3173247224722917,1.0884068169177115,,,0.29555155428063556,0.30831240721629977,0.23180284344685945,13,0,False,13,13,0,0.2415064620108751
official_usgs_streamflow,chronos_t5_tiny,1835.6538478166628,2658.06284175775,0.35800490270440394,1.154348704570139,,,0.3038554510221314,0.3461012905438775,0.21930623555719897,39,0,False,13,13,0,55.02476569398641
official_usgs_streamflow,auto_arima,2240.2647599440356,2800.916189340445,0.3938308713527826,1.1462575286347259,,,0.722064713499363,0.7546287672586716,0.8338335066938233,13,0,False,13,13,0,6.593020755000907
official_usgs_streamflow,deepar,2327.207629961845,3205.5081148392114,0.4155104506092194,1.2357728441763025,,,0.4071532007523529,0.48001896694353546,0.25769675753599636,39,0,False,13,13,0,488.84338698999636
official_usgs_streamflow,arima_2_1_2,2438.8599774287295,3125.0008453956016,0.3839576252951072,1.1621166086340458,,,0.6369930304638102,0.7341931548572292,0.7960471560016423,13,0,False,13,13,0,1.332765366001695
official_usgs_streamflow,seasonal_naive,4882.870468139648,6595.453228290265,0.6607804046227381,1.9258438590559979,,,0.9391897705450574,1.2435962097036333,0.47364943170213997,13,0,False,13,13,0,0.009195456990710227
official_usgs_streamflow,prophet,5656.8755448170195,6175.667157882299,0.6676262494367666,1.3220307034347858,,,0.8238449777614375,0.7603230258766898,0.8003340634548929,39,0,False,13,13,0,4.013768205993983
