dataset,series_id,item_id,origin,step,timestamp,actual
chronos_m1_yearly,0:target,0:target::origin=0,0,-18,1976-12-31 00:00:00,47390.0
chronos_m1_yearly,0:target,0:target::origin=0,0,-17,1977-12-31 00:00:00,57006.0
chronos_m1_yearly,0:target,0:target::origin=0,0,-16,1978-12-31 00:00:00,98563.0
chronos_m1_yearly,0:target,0:target::origin=0,0,-15,1979-12-31 00:00:00,117759.0
chronos_m1_yearly,0:target,0:target::origin=0,0,-14,1980-12-31 00:00:00,115097.0
chronos_m1_yearly,0:target,0:target::origin=0,0,-13,1981-12-31 00:00:00,133759.0
chronos_m1_yearly,0:target,0:target::origin=0,0,-12,1982-12-31 00:00:00,142485.0
chronos_m1_yearly,0:target,0:target::origin=0,0,-11,1983-12-31 00:00:00,169611.0
chronos_m1_yearly,0:target,0:target::origin=0,0,-10,1984-12-31 00:00:00,216229.0
chronos_m1_yearly,0:target,0:target::origin=0,0,-9,1985-12-31 00:00:00,253227.0
chronos_m1_yearly,0:target,0:target::origin=0,0,-8,1986-12-31 00:00:00,313096.0
chronos_m1_yearly,0:target,0:target::origin=0,0,-7,1987-12-31 00:00:00,322681.0
chronos_m1_yearly,0:target,0:target::origin=0,0,-6,1988-12-31 00:00:00,296245.0
chronos_m1_yearly,0:target,0:target::origin=0,0,-5,1989-12-31 00:00:00,370333.0
chronos_m1_yearly,0:target,0:target::origin=0,0,-4,1990-12-31 00:00:00,443826.0
chronos_m1_yearly,0:target,0:target::origin=0,0,-3,1991-12-31 00:00:00,426751.0
chronos_m1_yearly,0:target,0:target::origin=0,0,-2,1992-12-31 00:00:00,453627.0
chronos_m1_yearly,0:target,0:target::origin=0,0,-1,1993-12-31 00:00:00,553400.0
chronos_m1_yearly,0:target,0:target::origin=1,1,-16,1972-12-31 00:00:00,3600.0
chronos_m1_yearly,0:target,0:target::origin=1,1,-15,1973-12-31 00:00:00,7700.0
chronos_m1_yearly,0:target,0:target::origin=1,1,-14,1974-12-31 00:00:00,12300.0
chronos_m1_yearly,0:target,0:target::origin=1,1,-13,1975-12-31 00:00:00,30500.0
chronos_m1_yearly,0:target,0:target::origin=1,1,-12,1976-12-31 00:00:00,47390.0
chronos_m1_yearly,0:target,0:target::origin=1,1,-11,1977-12-31 00:00:00,57006.0
chronos_m1_yearly,0:target,0:target::origin=1,1,-10,1978-12-31 00:00:00,98563.0
chronos_m1_yearly,0:target,0:target::origin=1,1,-9,1979-12-31 00:00:00,117759.0
chronos_m1_yearly,0:target,0:target::origin=1,1,-8,1980-12-31 00:00:00,115097.0
chronos_m1_yearly,0:target,0:target::origin=1,1,-7,1981-12-31 00:00:00,133759.0
chronos_m1_yearly,0:target,0:target::origin=1,1,-6,1982-12-31 00:00:00,142485.0
chronos_m1_yearly,0:target,0:target::origin=1,1,-5,1983-12-31 00:00:00,169611.0
chronos_m1_yearly,0:target,0:target::origin=1,1,-4,1984-12-31 00:00:00,216229.0
chronos_m1_yearly,0:target,0:target::origin=1,1,-3,1985-12-31 00:00:00,253227.0
chronos_m1_yearly,0:target,0:target::origin=1,1,-2,1986-12-31 00:00:00,313096.0
chronos_m1_yearly,0:target,0:target::origin=1,1,-1,1987-12-31 00:00:00,322681.0
chronos_m1_yearly,0:target,0:target::origin=2,2,-10,1972-12-31 00:00:00,3600.0
chronos_m1_yearly,0:target,0:target::origin=2,2,-9,1973-12-31 00:00:00,7700.0
chronos_m1_yearly,0:target,0:target::origin=2,2,-8,1974-12-31 00:00:00,12300.0
chronos_m1_yearly,0:target,0:target::origin=2,2,-7,1975-12-31 00:00:00,30500.0
chronos_m1_yearly,0:target,0:target::origin=2,2,-6,1976-12-31 00:00:00,47390.0
chronos_m1_yearly,0:target,0:target::origin=2,2,-5,1977-12-31 00:00:00,57006.0
chronos_m1_yearly,0:target,0:target::origin=2,2,-4,1978-12-31 00:00:00,98563.0
chronos_m1_yearly,0:target,0:target::origin=2,2,-3,1979-12-31 00:00:00,117759.0
chronos_m1_yearly,0:target,0:target::origin=2,2,-2,1980-12-31 00:00:00,115097.0
chronos_m1_yearly,0:target,0:target::origin=2,2,-1,1981-12-31 00:00:00,133759.0
chronos_m1_yearly,3:target,3:target::origin=0,0,-18,1979-12-31 00:00:00,40991.0
chronos_m1_yearly,3:target,3:target::origin=0,0,-17,1980-12-31 00:00:00,69030.0
chronos_m1_yearly,3:target,3:target::origin=0,0,-16,1981-12-31 00:00:00,53926.0
chronos_m1_yearly,3:target,3:target::origin=0,0,-15,1982-12-31 00:00:00,81376.0
chronos_m1_yearly,3:target,3:target::origin=0,0,-14,1983-12-31 00:00:00,50023.0
chronos_m1_yearly,3:target,3:target::origin=0,0,-13,1984-12-31 00:00:00,170673.0
chronos_m1_yearly,3:target,3:target::origin=0,0,-12,1985-12-31 00:00:00,161909.0
chronos_m1_yearly,3:target,3:target::origin=0,0,-11,1986-12-31 00:00:00,199636.0
chronos_m1_yearly,3:target,3:target::origin=0,0,-10,1987-12-31 00:00:00,233006.0
chronos_m1_yearly,3:target,3:target::origin=0,0,-9,1988-12-31 00:00:00,214539.0
chronos_m1_yearly,3:target,3:target::origin=0,0,-8,1989-12-31 00:00:00,208055.0
chronos_m1_yearly,3:target,3:target::origin=0,0,-7,1990-12-31 00:00:00,251314.0
chronos_m1_yearly,3:target,3:target::origin=0,0,-6,1991-12-31 00:00:00,273587.0
chronos_m1_yearly,3:target,3:target::origin=0,0,-5,1992-12-31 00:00:00,276606.0
chronos_m1_yearly,3:target,3:target::origin=0,0,-4,1993-12-31 00:00:00,237456.0
chronos_m1_yearly,3:target,3:target::origin=0,0,-3,1994-12-31 00:00:00,327433.0
chronos_m1_yearly,3:target,3:target::origin=0,0,-2,1995-12-31 00:00:00,275882.0
chronos_m1_yearly,3:target,3:target::origin=0,0,-1,1996-12-31 00:00:00,350083.0
