dataset,series_id,item_id,origin,cutoff_timestamp,model,repetition,seed,diagnostic_model,forecast_distribution,mae,rmse,smape,mase,wql,wql_loss_sum,wql_abs_target_sum,rain_occurrence_error,positive_mae,actual_zero_fraction,predicted_zero_fraction,metric_notes,duration_seconds,error_type,error
chronos_m1_yearly,0:target,0:target::origin=0,0,1994-12-31 00:00:00,chronos_t5_mini,0,3523584646,False,chronos_samples,442214.25,542249.875,0.5324448943138123,14.461663357313503,0.43260012837752043,2509817.8952083737,5801704.0,,,0.0,0.0,,3.586940820001473,,
chronos_m1_yearly,0:target,0:target::origin=0,0,1994-12-31 00:00:00,chronos_t5_mini,1,2524879289,False,chronos_samples,440049.625,543563.5,0.5281385183334351,14.390873964966184,0.4208333880287944,2441550.7506602085,5801704.0,,,0.0,0.0,,0.0699396340023668,,
chronos_m1_yearly,0:target,0:target::origin=0,0,1994-12-31 00:00:00,chronos_t5_mini,2,1448327450,False,chronos_samples,439412.96875,541423.9375,0.5272700786590576,14.370053495336746,0.4285922297436849,2486565.2536728554,5801704.0,,,0.0,0.0,,0.06554953600061708,,
chronos_m1_yearly,0:target,0:target::origin=0,0,1994-12-31 00:00:00,chronos_t5_small,0,902234663,False,chronos_samples,416493.15625,510613.4375,0.4911450445652008,13.620510456893852,0.39194535209237696,2273950.917015752,5801704.0,,,0.0,0.0,,1.2928004339992185,,
chronos_m1_yearly,0:target,0:target::origin=0,0,1994-12-31 00:00:00,chronos_t5_small,1,164422324,False,chronos_samples,407452.59375,503782.71875,0.47594019770622253,13.324858357406438,0.38382997407535485,2226867.8959128824,5801704.0,,,0.0,0.0,,0.09234695399936754,,
chronos_m1_yearly,0:target,0:target::origin=0,0,1994-12-31 00:00:00,chronos_t5_small,2,1895841389,False,chronos_samples,410508.5,508309.6875,0.48050856590270996,13.424795180878341,0.396841076081024,2302354.4584635813,5801704.0,,,0.0,0.0,,0.07020559000011417,,
chronos_m1_yearly,0:target,0:target::origin=0,0,1994-12-31 00:00:00,chronos_t5_base,0,1460409936,False,chronos_samples,338947.78125,431806.28125,0.3716163635253906,11.0845562035729,0.3187546298884453,1849320.0112423124,5801704.0,,,0.0,0.0,,106.11547485999836,,
chronos_m1_yearly,0:target,0:target::origin=0,0,1994-12-31 00:00:00,chronos_t5_base,1,623807183,False,chronos_samples,340730.46875,435842.28125,0.3737148940563202,11.142855153677495,0.3290001658147579,1908761.5780081442,5801704.0,,,0.0,0.0,,0.171109177001199,,
chronos_m1_yearly,0:target,0:target::origin=0,0,1994-12-31 00:00:00,chronos_t5_base,2,560979477,False,chronos_samples,341621.78125,435686.6875,0.3752771317958832,11.172003606765937,0.32596358223388827,1891144.2189006784,5801704.0,,,0.0,0.0,,0.12769559399748687,,
chronos_m1_yearly,0:target,0:target::origin=0,0,1994-12-31 00:00:00,chronos_t5_large,0,2682751424,False,chronos_samples,345823.71875,442494.34375,0.38086965680122375,11.309418910712997,0.3319615927804455,1925942.900680682,5801704.0,,,0.0,0.0,,460.48964021600113,,
chronos_m1_yearly,0:target,0:target::origin=0,0,1994-12-31 00:00:00,chronos_t5_large,1,3686680967,False,chronos_samples,348625.03125,442978.625,0.38553550839424133,11.401029794653608,0.3305236051112916,1917600.1218686008,5801704.0,,,0.0,0.0,,0.23442860599971027,,
chronos_m1_yearly,0:target,0:target::origin=0,0,1994-12-31 00:00:00,chronos_t5_large,2,2656583848,False,chronos_samples,354100.34375,451947.90625,0.39291635155677795,11.580088081787256,0.340565819037792,1975862.074574834,5801704.0,,,0.0,0.0,,0.23589037499914411,,
chronos_m1_yearly,0:target,0:target::origin=1,1,1988-12-31 00:00:00,chronos_t5_mini,0,2667922896,False,chronos_samples,157567.625,188268.765625,0.43622028827667236,7.285690340777731,0.3250863058562234,827078.7278058982,2544182.0,,,0.0,0.0,,0.07230751799943391,,
chronos_m1_yearly,0:target,0:target::origin=1,1,1988-12-31 00:00:00,chronos_t5_mini,1,391818895,False,chronos_samples,163490.609375,194771.59375,0.45776477456092834,7.5595602429833075,0.3394884042744838,863720.2873638647,2544182.0,,,0.0,0.0,,0.05857365300107631,,
chronos_m1_yearly,0:target,0:target::origin=1,1,1988-12-31 00:00:00,chronos_t5_mini,2,2111874563,False,chronos_samples,162633.359375,194311.890625,0.45492351055145264,7.519922290424007,0.34237355737986014,871060.6419618074,2544182.0,,,0.0,0.0,,0.05415783299758914,,
chronos_m1_yearly,0:target,0:target::origin=1,1,1988-12-31 00:00:00,chronos_t5_small,0,1201900837,False,chronos_samples,120081.2734375,142299.140625,0.310226708650589,5.552377742520923,0.24710868037316097,628689.4566491494,2544182.0,,,0.0,0.0,,0.09558692100108601,,
chronos_m1_yearly,0:target,0:target::origin=1,1,1988-12-31 00:00:00,chronos_t5_small,1,3854659262,False,chronos_samples,123354.5078125,148619.09375,0.3208047151565552,5.703727184191058,0.24852757185499413,632299.3748171827,2544182.0,,,0.0,0.0,,0.07138348399894312,,
chronos_m1_yearly,0:target,0:target::origin=1,1,1988-12-31 00:00:00,chronos_t5_small,2,1023940004,False,chronos_samples,125536.65625,149952.328125,0.3275469243526459,5.80462645073288,0.26094140478646577,663882.42511244,2544182.0,,,0.0,0.0,,0.08395476900113863,,
chronos_m1_yearly,0:target,0:target::origin=1,1,1988-12-31 00:00:00,chronos_t5_base,0,1987596766,False,chronos_samples,146656.828125,171936.640625,0.3965705931186676,6.781191479400749,0.3092326573036745,786744.1605241772,2544182.0,,,0.0,0.0,,0.12354021799910697,,
chronos_m1_yearly,0:target,0:target::origin=1,1,1988-12-31 00:00:00,chronos_t5_base,1,2072105940,False,chronos_samples,139954.484375,164771.75,0.3741567134857178,6.471285170157674,0.29136950594146577,741297.0523651703,2544182.0,,,0.0,0.0,,0.13697231100013596,,
chronos_m1_yearly,0:target,0:target::origin=1,1,1988-12-31 00:00:00,chronos_t5_base,2,1568278230,False,chronos_samples,146111.296875,172560.734375,0.39507201313972473,6.755966933693994,0.31332430974502906,797154.0690157275,2544182.0,,,0.0,0.0,,0.11625132399785798,,
chronos_m1_yearly,0:target,0:target::origin=1,1,1988-12-31 00:00:00,chronos_t5_large,0,1734843625,False,chronos_samples,125458.7265625,148858.9375,0.32721152901649475,5.801023099019744,0.25643070349138186,652406.3800701109,2544182.0,,,0.0,0.0,,0.25523944499946083,,
chronos_m1_yearly,0:target,0:target::origin=1,1,1988-12-31 00:00:00,chronos_t5_large,1,4049421326,False,chronos_samples,137772.328125,163023.734375,0.36708858609199524,6.3703855423775835,0.28236361135285454,718384.4174589282,2544182.0,,,0.0,0.0,,0.2201599600011832,,
chronos_m1_yearly,0:target,0:target::origin=1,1,1988-12-31 00:00:00,chronos_t5_large,2,4017431024,False,chronos_samples,136057.765625,161329.671875,0.3615279197692871,6.291106747352846,0.28158840801207613,716412.1590729798,2544182.0,,,0.0,0.0,,0.21631753299880074,,
chronos_m1_yearly,0:target,0:target::origin=2,2,1982-12-31 00:00:00,chronos_t5_mini,0,562115281,False,chronos_samples,125874.4921875,151184.703125,0.6688787937164307,8.361716268390015,0.4963215365402747,703450.907063091,1417329.0,,,0.0,0.0,,0.08323826199921314,,
chronos_m1_yearly,0:target,0:target::origin=2,2,1982-12-31 00:00:00,chronos_t5_mini,1,1475082192,False,chronos_samples,128846.5390625,155023.25,0.6920774579048157,8.559146361439264,0.5075654388793865,719387.2159214821,1417329.0,,,0.0,0.0,,0.05642929100213223,,
chronos_m1_yearly,0:target,0:target::origin=2,2,1982-12-31 00:00:00,chronos_t5_mini,2,1214174056,False,chronos_samples,122902.4375,148100.0625,0.6461372971534729,8.164285656364225,0.4864426156710742,689449.226026468,1417329.0,,,0.0,0.0,,0.09611180899810279,,
chronos_m1_yearly,0:target,0:target::origin=2,2,1982-12-31 00:00:00,chronos_t5_small,0,2796406984,False,chronos_samples,127817.75,156310.375,0.6850592494010925,8.490804935856122,0.5071510669961043,718799.9146345216,1417329.0,,,0.0,0.0,,0.08644836499661324,,
chronos_m1_yearly,0:target,0:target::origin=2,2,1982-12-31 00:00:00,chronos_t5_small,1,1017047442,False,chronos_samples,127398.6171875,156507.734375,0.6822550892829895,8.462962363497006,0.5017714204197392,711175.1855320885,1417329.0,,,0.0,0.0,,0.08460660999844549,,
chronos_m1_yearly,0:target,0:target::origin=2,2,1982-12-31 00:00:00,chronos_t5_small,2,991704027,False,chronos_samples,124883.8046875,152157.359375,0.6620449423789978,8.29590589138924,0.4961982026856834,703276.1024142969,1417329.0,,,0.0,0.0,,0.0874000289986725,,
chronos_m1_yearly,0:target,0:target::origin=2,2,1982-12-31 00:00:00,chronos_t5_base,0,1748623796,False,chronos_samples,120044.6875,146652.875,0.6248185038566589,7.974448190085537,0.47270315363341747,669975.888036098,1417329.0,,,0.0,0.0,,0.14954544100328349,,
chronos_m1_yearly,0:target,0:target::origin=2,2,1982-12-31 00:00:00,chronos_t5_base,1,2744180907,False,chronos_samples,124731.3984375,152335.515625,0.660640299320221,8.28578169705977,0.48738316723743336,690782.2970374642,1417329.0,,,0.0,0.0,,0.12487417100055609,,
chronos_m1_yearly,0:target,0:target::origin=2,2,1982-12-31 00:00:00,chronos_t5_base,2,3791225768,False,chronos_samples,122635.7109375,149323.90625,0.6444491744041443,8.146567278334578,0.4830989593523033,684710.1649598407,1417329.0,,,0.0,0.0,,0.15369576899684034,,
chronos_m1_yearly,0:target,0:target::origin=2,2,1982-12-31 00:00:00,chronos_t5_large,0,1000040909,False,chronos_samples,115281.7890625,139163.59375,0.5901138782501221,7.658053623899648,0.4645082714979739,658361.0439339519,1417329.0,,,0.0,0.0,,0.28105800300181727,,
chronos_m1_yearly,0:target,0:target::origin=2,2,1982-12-31 00:00:00,chronos_t5_large,1,4005755343,False,chronos_samples,114862.65625,139591.21875,0.5869470238685608,7.630211051540533,0.46012009088669614,652141.5482963502,1417329.0,,,0.0,0.0,,0.2757723270005954,,
chronos_m1_yearly,0:target,0:target::origin=2,2,1982-12-31 00:00:00,chronos_t5_large,2,167517634,False,chronos_samples,118520.5625,142714.828125,0.6136381030082703,7.873202094978545,0.4760346338937114,674697.6916219401,1417329.0,,,0.0,0.0,,0.22976022599686985,,
