dataset,model,mae,rmse,smape,mase,rain_occurrence_error,positive_mae,wql,wql_macro,wql_median,successful_runs,failed_runs,diagnostic_model,evaluated_tasks,successful_tasks,failed_tasks,total_duration_seconds
chronos_car_parts,chronos_t5_small,0.4404855199964144,0.7074992313545245,1.141092840830485,0.7156193944114542,0.28611111111111115,1.3175516843154866,1.0181594118758612,1.2600531788625162,1.000000007546101,120,0,False,40,40,0,34.913538300988876
chronos_car_parts,chronos_t5_mini,0.46595030435038587,0.7479498959641951,1.1321634521087012,0.7312892264226535,0.28541666666666665,1.3104810179561697,1.0437788814236473,1.2992212415881197,1.0000000433841096,120,0,False,40,40,0,26.851605395029765
chronos_car_parts,chronos_t5_large,0.47379597346596897,0.7353875395716526,1.0947997639576594,0.745802139791482,0.2972222222222222,1.1963952315110031,1.0645145507229619,1.3281344841290315,1.0061728490792494,120,0,False,40,40,0,91.78626214100586
chronos_car_parts,chronos_t5_base,0.5099133088748949,0.7812721207302111,1.1060958430171013,0.7626859850149047,0.29375,1.268904907408581,1.1357426336034426,1.423915363524097,1.0000000433841096,120,0,False,40,40,0,53.59043455599749
chronos_m1_yearly,chronos_t5_small,355925.13280373416,420575.15562197234,0.2807692767224378,3.5964360083680136,,,0.11752571430547465,0.21302306781748104,0.13914813791714553,180,0,False,60,60,0,19.733086268985062
chronos_m1_yearly,chronos_t5_mini,356774.03104224004,423141.48474537797,0.27109811229424347,3.687533952294877,,,0.11940289456526658,0.20980190513500502,0.18112574670081155,180,0,False,60,60,0,18.13801812996462
chronos_m1_yearly,chronos_t5_large,359199.9202002446,424820.58904203906,0.2717066855273313,3.4174582819466033,,,0.11907272418477993,0.20825116301788063,0.13387706907714908,180,0,False,60,60,0,512.6708562660388
chronos_m1_yearly,chronos_t5_base,360948.6960639636,427426.5942412138,0.27031542517555257,3.4440466096999054,,,0.1181821904711925,0.20614420841936582,0.13632380664413035,180,0,False,60,60,0,135.80936341099004
chronos_m3_quarterly,chronos_t5_base,540.1226147121853,631.3831329345703,0.120091548975971,1.2260813654177636,,,0.08676014958636992,0.0959369555002089,0.07181892495899608,180,0,False,60,60,0,60.85561174302347
chronos_m3_quarterly,chronos_t5_large,542.7467524210612,638.9923098034329,0.11967622551860081,1.2049642216315084,,,0.08770311217358971,0.09618173719625829,0.06844284085062946,180,0,False,60,60,0,99.16575498400198
