dataset,series_id,item_id,origin,model,repetition,seed,forecast_distribution,step,timestamp,actual,point_forecast,mean_forecast,q_10,q_20,q_30,q_40,q_50,q_60,q_70,q_80,q_90
chronos_m1_yearly,90:target,90:target::origin=0,0,chronos_t5_tiny,0,1288419292,chronos_samples,0,1988-12-31 00:00:00,3.4800000190734863,3.37272047996521,3.404923439025879,3.084991455078125,3.1783604621887207,3.2583909034729004,3.326988458633423,3.37272047996521,3.4870500564575195,3.56326961517334,3.63948917388916,3.7366695404052734
chronos_m1_yearly,90:target,90:target::origin=0,0,chronos_t5_tiny,0,1288419292,chronos_samples,1,1989-12-31 00:00:00,3.6500000953674316,3.37272047996521,3.420738935470581,3.0087714195251465,3.163116455078125,3.2583909034729004,3.3155555725097656,3.37272047996521,3.418452501296997,3.582324504852295,3.700465202331543,3.870053768157959
chronos_m1_yearly,90:target,90:target::origin=0,0,chronos_t5_tiny,0,1288419292,chronos_samples,2,1990-12-31 00:00:00,4.480000019073486,3.4013030529022217,3.4277892112731934,2.907780408859253,3.125006675720215,3.2393360137939453,3.3155555725097656,3.4013030529022217,3.4489402770996094,3.607095718383789,3.7690632343292236,4.0034379959106445
chronos_m1_yearly,90:target,90:target::origin=0,0,chronos_t5_tiny,0,1288419292,chronos_samples,3,1991-12-31 00:00:00,4.380000114440918,3.353665351867676,3.4178805351257324,2.854426860809326,3.0868968963623047,3.214564561843872,3.2888786792755127,3.353665351867676,3.5327818393707275,3.626150608062744,3.807173013687134,4.060603141784668
chronos_m1_yearly,90:target,90:target::origin=0,0,chronos_t5_tiny,0,1288419292,chronos_samples,4,1992-12-31 00:00:00,4.809999942779541,3.3631930351257324,3.398635149002075,2.816317081451416,3.006865978240967,3.170738458633423,3.2965006828308105,3.3631930351257324,3.4679951667785645,3.63948917388916,3.772873878479004,4.131105899810791
chronos_m1_yearly,90:target,90:target::origin=0,0,chronos_t5_tiny,0,1288419292,chronos_samples,5,1993-12-31 00:00:00,4.710000038146973,3.3155555725097656,3.3311808109283447,2.5914688110351562,2.8734817504882812,3.037353992462158,3.201226234436035,3.3155555725097656,3.4756171703338623,3.60137939453125,3.7347640991210938,4.171121120452881
chronos_m1_yearly,90:target,90:target::origin=0,0,moirai_2_0_small,0,1146296277,moirai_quantiles_no_mean,0,1988-12-31 00:00:00,3.4800000190734863,3.2126553058624268,3.2126553058624268,2.490536689758301,2.8642542362213135,3.0429277420043945,3.145744800567627,3.2126553058624268,3.282827854156494,3.359829902648926,3.4452996253967285,3.615424394607544
chronos_m1_yearly,90:target,90:target::origin=0,0,moirai_2_0_small,0,1146296277,moirai_quantiles_no_mean,1,1989-12-31 00:00:00,3.6500000953674316,3.2198891639709473,3.2198891639709473,2.016162872314453,2.618683099746704,2.9204235076904297,3.0970025062561035,3.2198891639709473,3.341468095779419,3.4640958309173584,3.6023149490356445,3.8412675857543945
chronos_m1_yearly,90:target,90:target::origin=0,0,moirai_2_0_small,0,1146296277,moirai_quantiles_no_mean,2,1990-12-31 00:00:00,4.480000019073486,3.035240650177002,3.035240650177002,1.6452287435531616,2.3104958534240723,2.684171676635742,2.8920273780822754,3.035240650177002,3.1742749214172363,3.319875717163086,3.4816641807556152,3.7605223655700684
chronos_m1_yearly,90:target,90:target::origin=0,0,moirai_2_0_small,0,1146296277,moirai_quantiles_no_mean,3,1991-12-31 00:00:00,4.380000114440918,2.9596192836761475,2.9596192836761475,1.4736623764038086,2.137744188308716,2.569640636444092,2.8046391010284424,2.9596192836761475,3.107832908630371,3.261176109313965,3.429823875427246,3.7179083824157715
chronos_m1_yearly,90:target,90:target::origin=0,0,moirai_2_0_small,0,1146296277,moirai_quantiles_no_mean,4,1992-12-31 00:00:00,4.809999942779541,2.954878330230713,2.954878330230713,1.3789414167404175,2.032780408859253,2.5083553791046143,2.78428316116333,2.954878330230713,3.112955093383789,3.266634702682495,3.4359395503997803,3.725733518600464
chronos_m1_yearly,90:target,90:target::origin=0,0,moirai_2_0_small,0,1146296277,moirai_quantiles_no_mean,5,1993-12-31 00:00:00,4.710000038146973,3.0141587257385254,3.0141587257385254,1.3914536237716675,2.0396833419799805,2.5266377925872803,2.8270349502563477,3.0141587257385254,3.172675609588623,3.326050281524658,3.481386423110962,3.7542388439178467
chronos_m1_yearly,90:target,90:target::origin=0,0,seasonal_naive,0,1530226048,degenerate,0,1988-12-31 00:00:00,3.4800000190734863,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115
chronos_m1_yearly,90:target,90:target::origin=0,0,seasonal_naive,0,1530226048,degenerate,1,1989-12-31 00:00:00,3.6500000953674316,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115
chronos_m1_yearly,90:target,90:target::origin=0,0,seasonal_naive,0,1530226048,degenerate,2,1990-12-31 00:00:00,4.480000019073486,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115
chronos_m1_yearly,90:target,90:target::origin=0,0,seasonal_naive,0,1530226048,degenerate,3,1991-12-31 00:00:00,4.380000114440918,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115
chronos_m1_yearly,90:target,90:target::origin=0,0,seasonal_naive,0,1530226048,degenerate,4,1992-12-31 00:00:00,4.809999942779541,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115
chronos_m1_yearly,90:target,90:target::origin=0,0,seasonal_naive,0,1530226048,degenerate,5,1993-12-31 00:00:00,4.710000038146973,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115
chronos_m1_yearly,90:target,90:target::origin=0,0,arima_2_1_2,0,148919152,gaussian,0,1988-12-31 00:00:00,3.4800000190734863,3.494281053543091,3.494281053543091,3.3801705837249756,3.419342279434204,3.4475879669189453,3.4717228412628174,3.494281053543091,3.5168392658233643,3.5409741401672363,3.5692198276519775,3.608391523361206
chronos_m1_yearly,90:target,90:target::origin=0,0,arima_2_1_2,0,148919152,gaussian,1,1989-12-31 00:00:00,3.6500000953674316,3.6774165630340576,3.6774165630340576,3.4196839332580566,3.5081584453582764,3.5719544887542725,3.6264660358428955,3.6774165630340576,3.7283670902252197,3.7828786373138428,3.846674919128418,3.9351489543914795
chronos_m1_yearly,90:target,90:target::origin=0,0,arima_2_1_2,0,148919152,gaussian,2,1990-12-31 00:00:00,4.480000019073486,3.8109493255615234,3.8109493255615234,3.3954265117645264,3.538067102432251,3.640920877456665,3.7288055419921875,3.8109493255615234,3.8930931091308594,3.980977773666382,4.083831787109375,4.226471900939941
chronos_m1_yearly,90:target,90:target::origin=0,0,arima_2_1_2,0,148919152,gaussian,3,1991-12-31 00:00:00,4.380000114440918,3.957634210586548,3.957634210586548,3.3661811351776123,3.5692148208618164,3.715616464614868,3.8407111167907715,3.957634210586548,4.074557304382324,4.199652194976807,4.346053600311279,4.549087047576904
chronos_m1_yearly,90:target,90:target::origin=0,0,arima_2_1_2,0,148919152,gaussian,4,1992-12-31 00:00:00,4.809999942779541,4.071542263031006,4.071542263031006,3.296734571456909,3.5627102851867676,3.7544972896575928,3.91837215423584,4.071542263031006,4.224712371826172,4.38858699798584,4.580374240875244,4.846349716186523
