dataset,series_id,item_id,origin,cutoff_timestamp,model,repetition,seed,diagnostic_model,forecast_distribution,mae,rmse,smape,mase,wql,wql_loss_sum,wql_abs_target_sum,rain_occurrence_error,positive_mae,actual_zero_fraction,predicted_zero_fraction,metric_notes,duration_seconds,error_type,error
chronos_m1_yearly,0:target,0:target::origin=0,0,1994-12-31 00:00:00,chronos_t5_tiny,0,1174997204.0,False,chronos_samples,371290.21875,470980.9375,0.4185255467891693,12.142245871601355,0.3621744456594385,2101228.930080147,5801704.0,,,0.0,0.0,,1.3722093080000377,,
chronos_m1_yearly,0:target,0:target::origin=0,0,1994-12-31 00:00:00,chronos_t5_tiny,1,626375271.0,False,chronos_samples,357029.0,454913.8125,0.39729204773902893,11.675863468439298,0.35324038635453475,2049396.1624746497,5801704.0,,,0.0,0.0,,0.07058392099997945,,
chronos_m1_yearly,0:target,0:target::origin=0,0,1994-12-31 00:00:00,chronos_t5_tiny,2,998129727.0,False,chronos_samples,365814.875,465711.0625,0.41015729308128357,11.963186562503852,0.3424559673111301,1986828.1553728527,5801704.0,,,0.0,0.0,,0.06724936699993123,,
chronos_m1_yearly,0:target,0:target::origin=0,0,1994-12-31 00:00:00,timesfm_2_5_200m,0,1341725385.0,False,timesfm_quantiles,317367.625,398056.875,0.34280967712402344,10.378823733654247,0.30356918517244275,1761218.5558917017,5801704.0,,,0.0,0.0,,1.1846896940000988,,
chronos_m1_yearly,0:target,0:target::origin=0,0,1994-12-31 00:00:00,moirai_2_0_small,0,4066455737.0,False,moirai_quantiles_no_mean,412119.59375,507914.65625,0.4835909307003021,13.477482527452025,0.3740557907075288,2170160.9771710327,5801704.0,,,0.0,0.0,,0.8287710330000664,,
chronos_m1_yearly,0:target,0:target::origin=0,0,1994-12-31 00:00:00,seasonal_naive,0,1486464250.0,False,degenerate,413550.65625,510277.96875,0.48565909266471863,13.524282340253796,0.4276853855909868,2481304.0123247704,5801704.0,,,0.0,0.0,"{""wql_distribution"": ""Repeated point forecasts form a degenerate distribution; calibration is not measured.""}",0.0009905800002343312,,
chronos_m1_yearly,0:target,0:target::origin=0,0,1994-12-31 00:00:00,arima_2_1_2,0,1241872253.0,False,gaussian,130056.1484375,155121.90625,0.12855613231658936,4.253205852710353,0.09606657434852746,557349.8286641492,5801704.0,,,0.0,0.0,,0.06898117499986256,,
chronos_m1_yearly,0:target,0:target::origin=0,0,1994-12-31 00:00:00,auto_arima,0,1213321814.0,False,gaussian,355035.15625,456822.21875,0.39359626173973083,11.610659108562645,0.2945636825345503,1708971.2952154304,5801704.0,,,0.0,0.0,,0.09861207500034652,,
chronos_m1_yearly,0:target,0:target::origin=0,0,1994-12-31 00:00:00,prophet,0,2710502404.0,False,samples,407706.25,481545.125,0.483438104391098,13.333153638022063,0.4082375491695361,2368473.4219670943,5801704.0,,,0.0,0.0,,0.10256408599980205,,
chronos_m1_yearly,0:target,0:target::origin=0,0,1994-12-31 00:00:00,prophet,1,4046078124.0,False,samples,407451.53125,481725.96875,0.4828245937824249,13.324823610635347,0.4070991192530036,2361868.5885666283,5801704.0,,,0.0,0.0,,0.07503178899969498,,
